trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed;session;user;user_set
297.2;False;False;52.38;59.46;;;20.77;2;1;17;3
297.1;False;False;37.38;50.3;;;14.66;1;1;17;3
283.2;False;False;19.9;24.08;;;;0;1;17;3
283.1;False;False;49.64;121.42;;;16.31;2;1;17;3
292.1;False;False;45.52;52.94;;;17.79;1;1;17;3
292.2;False;False;81.46;110.84;;;17.23;2;1;17;3
274.2;False;False;86.0;100.76;;;22.2;1;1;17;3
274.1;False;False;27.0;76.91;;;;0;1;17;3
282.1;False;False;42.87;96.1;;;12.98;1;1;17;3
282.2;False;False;18.7;84.76;;;;0;1;17;3
305.3;False;False;208.32;260.76;34.82;77.51;34.82;2;1;17;3
305.1;False;True;81.93;78.25;;;26.42;3;1;17;3
278.1;False;False;74.96;76.05;;;11.22;1;1;17;3
278.2;False;False;20.01;31.33;;;;0;1;17;3
290.2;False;False;242.34;279.64;45.78;88.86;13.87;2;1;17;3
290.1;False;True;135.34;107.97;90.49;82.72;44.14;13;1;17;3
309.2;False;False;36.96;48.84;;;16.78;1;1;17;3
309.1;False;False;45.15;48.83;;;15.99;1;1;17;3
300.1;False;False;130.96;167.83;2.02;36.93;2.02;2;1;17;3
300.2;False;False;19.87;54.76;;;;0;1;17;3
313.1;False;False;40.93;47.75;;;16.13;2;1;17;3
313.2;False;True;52.57;44.71;;;13.97;1;1;17;3
280.1;False;False;45.98;53.4;;;26.95;1;1;17;3
280.3;False;False;42.5;65.31;;;20.98;1;1;17;3
293.1;False;True;29.14;20.33;;;15.57;1;1;17;3
293.2;False;False;145.42;265.42;8.63;122.15;8.63;2;1;17;3
286.2;False;True;98.57;87.25;;;14.58;1;1;17;3
286.1;False;False;38.01;41.8;;;18.81;2;1;17;3
306.2;False;False;54.46;61.77;;;16.93;1;1;17;3
306.1;False;False;25.07;47.5;;;;0;1;17;3
315.1;False;False;280.25;303.36;40.68;80.58;40.68;1;1;17;3
315.2;False;True;23.29;6.37;;;;0;1;17;3
281.2;False;True;56.85;45.99;;;21.64;1;1;17;3
281.1;False;False;31.46;43.13;;;;0;1;17;3
272.2;False;True;52.72;33.92;;;14.42;2;1;17;3
272.1;False;True;27.73;13.52;;;;0;1;17;3
303.1;False;True;22.68;17.69;;;;0;1;17;3
303.2;False;False;100.35;323.26;27.86;275.6;31.34;1;1;17;3
285.2;False;True;165.58;166.17;35.62;22.69;22.69;2;1;17;3
285.1;False;True;28.29;22.96;;;;0;1;17;3
288.2;False;False;19.86;366.7;;;;0;1;17;3
288.1;False;False;86.51;102.2;;;27.8;1;1;17;3
302.2;False;True;92.95;91.02;;;15.76;1;1;17;3
302.1;False;False;120.04;236.42;24.22;133.3;24.22;2;1;17;3
271.1;False;False;78.68;81.79;;;39.77;1;1;17;3
271.3;False;False;283.51;531.31;31.03;264.85;17.93;3;1;17;3
277.2;False;True;29.26;29.11;;;;0;1;17;3
277.1;False;False;96.21;223.22;;;27.34;1;1;17;3
299.2;False;False;57.43;98.75;;;;0;1;17;3
299.1;False;False;34.48;370.42;;;27.5;1;1;17;3
284.2;False;False;89.91;100.36;;;23.09;1;1;17;3
284.1;False;False;21.24;37.0;;;;0;1;17;3
275.1;False;True;105.89;104.95;11.73;8.64;11.27;1;1;17;3
275.2;False;False;36.85;1329.92;;;23.96;1;1;17;3
276.2;False;False;22.87;44.76;;;;0;1;17;3
276.1;False;False;96.35;103.71;;;22.02;7;1;17;3
310.2;False;False;110.2;145.86;16.0;48.06;18.42;1;1;17;3
310.1;False;False;113.29;438.21;26.75;389.89;26.75;2;1;17;3
312.1;False;False;136.29;167.76;16.97;40.53;20.2;1;1;17;3
312.2;False;False;50.6;1237.61;;;20.84;2;1;17;3
38.1;False;True;31.09;29.92;;;;0;1;13;1
38.2;False;False;20.82;21.53;;;;0;1;13;1
2.1;False;False;65.13;74.74;;;23.82;20;1;13;1
2.2;False;False;23.73;31.81;;;;0;1;13;1
43.1;False;False;37.28;39.59;;;21.23;3;1;13;1
43.2;False;False;36.9;286.35;;;;0;1;13;1
35.1;False;True;33.24;23.92;;;;0;1;13;1
35.3;False;False;57.9;66.64;;;34.05;6;1;13;1
4.3;False;True;74.03;64.97;;;45.18;10;1;13;1
4.1;False;False;24.47;30.39;;;;0;1;13;1
5.1;False;True;40.92;34.9;;;29.62;1;1;13;1
5.3;False;False;20.67;26.37;;;;0;1;13;1
31.1;False;False;28.3;32.75;;;;0;1;13;1
31.3;False;True;23.12;20.07;;;;0;1;13;1
41.1;False;True;28.74;27.14;;;;0;1;13;1
41.3;False;False;39.71;60.59;;;;0;1;13;1
9.3;False;False;35.23;49.32;;;29.19;2;1;13;1
9.1;False;False;33.83;34.71;;;27.93;2;1;13;1
17.1;False;True;41.3;26.54;;;;0;1;13;1
17.3;False;False;41.64;105.66;;;39.73;1;1;13;1
29.3;False;False;17.08;43.9;;;;0;1;13;1
29.1;False;False;76.5;88.39;;;27.32;15;1;13;1
28.1;False;True;47.05;36.82;;;31.75;2;1;13;1
28.2;False;False;24.71;31.18;;;21.85;1;1;13;1
18.3;False;True;28.23;27.45;;;;0;1;13;1
18.1;False;False;24.18;27.25;;;;0;1;13;1
7.1;False;False;8.83;25.73;;;;0;1;13;1
7.3;False;False;83.57;84.92;;;48.62;11;1;13;1
30.1;False;False;50.78;72.16;;;37.7;6;1;13;1
30.2;False;False;17.87;37.34;;;;0;1;13;1
32.1;False;False;30.54;32.38;;;;0;1;13;1
32.3;False;False;42.18;69.36;;;39.53;1;1;13;1
14.1;False;False;26.7;210.42;;;;0;1;13;1
14.3;False;False;42.51;114.52;;;34.04;1;1;13;1
15.3;False;False;28.81;37.38;;;25.19;1;1;13;1
15.1;False;True;53.91;14.21;;;;0;1;13;1
42.1;False;False;33.21;46.04;;;32.31;1;1;13;1
42.2;False;False;42.14;47.37;;;39.73;1;1;13;1
12.3;False;False;28.74;761.99;;;25.88;2;1;13;1
12.1;False;True;39.81;37.05;;;34.24;1;1;13;1
37.3;False;False;133.12;241.83;92.82;223.87;59.33;5;1;13;1
37.1;False;False;28.29;55.02;;;;0;1;13;1
10.1;False;False;32.81;65.39;;;27.77;4;1;13;1
10.2;False;False;47.93;199.05;;;42.25;2;1;13;1
25.1;False;False;33.81;37.68;;;32.22;2;1;13;1
25.3;False;False;23.32;50.9;;;;0;1;13;1
23.2;False;True;41.44;34.91;;;29.31;3;1;13;1
23.1;False;True;22.24;22.15;;;;0;1;13;1
13.3;False;False;33.47;91.16;;;27.77;2;1;13;1
13.1;False;False;20.79;25.69;;;18.17;1;1;13;1
19.1;False;False;38.48;64.85;;;35.28;2;1;13;1
19.3;False;False;26.63;286.71;;;;0;1;13;1
20.1;False;False;34.65;40.6;;;25.9;5;1;13;1
20.2;False;False;82.67;148.94;;;30.61;3;1;13;1
21.1;False;True;46.52;43.49;;;11.06;2;1;13;1
21.3;False;False;22.55;55.06;;;;0;1;13;1
33.2;False;False;51.19;88.53;;;32.92;5;1;13;1
33.1;False;False;21.24;35.74;;;;0;1;13;1
24.3;False;False;42.78;157.58;;;29.38;3;1;13;1
24.1;False;True;61.77;44.51;;;33.99;3;1;13;1
848.3;False;True;26.52;22.39;;;;0;1;24;7
848.1;False;True;38.48;25.61;;;;0;1;24;7
842.2;False;True;41.53;31.31;;;20.58;5;1;24;7
842.1;False;True;37.14;35.39;;;;0;1;24;7
827.1;False;True;42.22;22.56;;;;0;1;24;7
827.2;False;False;37.85;48.59;;;;0;1;24;7
813.1;False;True;37.29;31.78;;;;0;1;24;7
813.2;False;True;40.39;36.58;;;19.81;10;1;24;7
811.1;False;True;63.03;9.61;;;;0;1;24;7
811.3;False;True;54.81;28.33;;;;0;1;24;7
820.3;False;True;48.76;14.6;;;13.27;1;1;24;7
820.1;False;True;46.26;10.98;;;;0;1;24;7
850.1;False;False;39.07;66.45;;;;0;1;24;7
850.2;False;True;50.18;50.15;;;48.09;3;1;24;7
841.3;False;True;41.28;13.17;;;;0;1;24;7
841.1;False;True;42.41;23.35;;;;0;1;24;7
834.1;False;False;44.65;200.93;;;;0;1;24;7
834.2;False;True;51.49;7.91;;;;0;1;24;7
824.3;False;True;41.8;13.35;;;;0;1;24;7
824.1;False;False;51.69;57.27;;;;0;1;24;7
840.2;False;True;64.94;3.43;;;;0;1;24;7
840.1;False;True;55.06;2.91;;;;0;1;24;7
854.2;False;True;39.22;32.93;;;;0;1;24;7
854.1;False;True;42.59;41.52;;;40.45;1;1;24;7
838.2;False;False;37.07;43.94;;;;0;1;24;7
838.1;False;True;50.92;23.78;;;11.07;1;1;24;7
836.1;False;True;55.29;22.65;;;;0;1;24;7
836.3;False;False;47.12;175.34;;;;0;1;24;7
815.1;False;False;40.65;48.87;;;;0;1;24;7
815.3;False;True;48.2;15.0;;;;0;1;24;7
852.2;False;True;45.12;37.33;;;33.22;3;1;24;7
852.1;False;True;47.9;34.57;;;;0;1;24;7
812.2;False;False;43.65;204.02;;;;0;1;24;7
812.1;False;True;42.58;41.35;;;37.71;1;1;24;7
830.2;False;True;48.71;14.79;;;;0;1;24;7
830.1;False;False;35.38;78.64;;;;0;1;24;7
819.1;False;True;42.98;41.73;;;24.24;9;1;24;7
819.2;False;False;46.55;86.26;;;;0;1;24;7
832.2;False;False;40.35;136.51;;;;0;1;24;7
832.1;False;True;40.4;30.14;;;19.94;4;1;24;7
822.1;False;False;42.4;378.33;;;;0;1;24;7
822.2;False;False;42.71;56.66;;;;0;1;24;7
847.1;False;True;38.78;34.13;;;;0;1;24;7
847.3;False;True;41.8;19.04;;;;0;1;24;7
837.2;False;True;40.27;17.25;;;;0;1;24;7
837.1;False;True;41.4;38.66;;;29.61;6;1;24;7
839.2;False;True;44.64;31.9;;;;0;1;24;7
839.1;False;True;39.44;25.65;;;;0;1;24;7
816.2;False;True;35.31;18.06;;;;0;1;24;7
816.1;False;True;43.55;39.1;;;;0;1;24;7
843.1;False;True;31.09;14.15;;;;0;1;24;7
843.2;False;False;39.21;47.81;;;;0;1;24;7
817.1;False;True;38.93;5.81;;;;0;1;24;7
817.3;False;False;47.87;116.13;;;;0;1;24;7
814.2;False;False;73.79;96.33;;;;0;1;24;7
814.1;False;False;39.46;39.69;;;;0;1;24;7
849.2;False;True;41.03;40.06;;;;0;1;24;7
849.1;False;True;38.44;31.91;;;30.49;1;1;24;7
835.3;False;True;38.62;8.18;;;;0;1;24;7
835.1;False;False;33.91;36.15;;;;0;1;24;7
158.1;False;False;171.24;221.44;76.01;111.62;33.43;50;1;20;2
158.2;False;True;54.25;24.37;;;14.43;2;1;20;2
161.2;False;True;82.59;11.39;;;;0;1;20;2
161.1;False;False;34.25;49.09;;;23.98;16;1;20;2
153.3;False;True;163.62;93.38;;;22.51;1;1;20;2
153.1;False;True;63.44;32.2;;;;0;1;20;2
145.1;True;False;305.27;304.9;127.03;116.5;;0;1;20;2
145.2;False;True;39.49;13.45;;;;0;1;20;2
157.3;False;True;96.84;31.48;;;28.63;1;1;20;2
157.1;False;False;31.16;37.7;;;27.15;3;1;20;2
167.1;False;True;64.32;22.56;;;;0;1;20;2
167.3;False;True;83.4;12.86;;;;0;1;20;2
179.2;False;True;41.59;19.0;;;;0;1;20;2
179.1;False;False;37.36;80.32;;;32.16;1;1;20;2
165.1;False;True;92.82;5.94;;;;0;1;20;2
165.3;False;True;41.87;35.2;;;;0;1;20;2
139.1;False;True;56.43;27.87;;;;0;1;20;2
139.3;False;True;93.13;23.49;;;;0;1;20;2
146.2;False;False;53.89;87.5;;;36.18;13;1;20;2
146.1;False;True;34.91;31.17;;;;0;1;20;2
177.1;False;True;103.53;20.94;;;;0;1;20;2
177.3;False;True;44.08;37.32;;;;0;1;20;2
171.3;False;False;57.43;60.13;;;48.61;2;1;20;2
171.1;False;True;43.4;21.76;;;;0;1;20;2
138.1;False;True;42.72;24.14;;;;0;1;20;2
138.2;False;True;79.07;15.28;;;;0;1;20;2
152.2;False;False;35.71;44.33;;;31.83;2;1;20;2
152.1;False;True;42.02;33.91;;;28.21;2;1;20;2
174.2;False;True;49.52;25.31;;;;0;1;20;2
174.1;False;True;82.25;34.29;;;31.31;1;1;20;2
143.1;False;True;42.32;28.55;;;23.22;2;1;20;2
143.3;False;True;104.4;42.59;;;;0;1;20;2
144.1;False;True;146.27;94.08;;;25.84;1;1;20;2
144.2;False;True;80.6;33.13;;;;0;1;20;2
178.3;False;True;45.03;39.82;;;38.08;1;1;20;2
178.1;False;True;42.07;18.97;;;;0;1;20;2
142.1;False;False;85.33;109.06;;;47.65;6;1;20;2
142.2;False;True;42.23;28.48;;;26.7;1;1;20;2
136.2;False;True;40.3;24.68;;;;0;1;20;2
136.1;False;False;27.39;27.53;;;19.56;6;1;20;2
168.2;False;True;52.22;12.67;;;;0;1;20;2
168.1;False;True;53.51;42.18;;;36.08;4;1;20;2
172.1;False;True;39.68;22.76;;;;0;1;20;2
172.2;False;True;41.45;33.41;;;32.3;1;1;20;2
141.1;False;True;98.43;17.02;;;;0;1;20;2
141.3;False;True;99.83;26.17;;;;0;1;20;2
149.3;False;True;60.73;44.87;;;30.86;2;1;20;2
149.1;False;True;66.21;31.35;;;;0;1;20;2
173.3;False;True;59.69;38.94;;;25.31;2;1;20;2
173.1;False;True;55.3;23.45;;;18.08;1;1;20;2
169.2;False;True;55.29;54.22;;;36.9;9;1;20;2
169.1;False;True;42.44;39.23;;;31.28;6;1;20;2
166.1;False;True;94.01;20.94;;;;0;1;20;2
166.2;False;True;99.1;20.7;;;;0;1;20;2
163.2;False;True;84.32;66.26;;;35.76;1;1;20;2
163.1;False;False;39.54;70.12;;;33.01;2;1;20;2
160.2;False;True;40.1;38.67;;;37.4;1;1;20;2
160.1;False;False;32.55;48.54;;;27.24;3;1;20;2
164.1;False;True;51.54;37.11;;;;0;1;20;2
164.3;False;True;68.26;43.79;;;39.43;2;1;20;2
38.2;False;False;13.45;17.89;;;;0;1;12;1
38.1;False;False;37.13;161.53;;;13.32;1;1;12;1
1.1;False;False;71.28;279.88;;;40.33;21;1;12;1
1.2;False;False;106.63;109.45;7.95;10.05;10.3;1;1;12;1
6.3;False;True;64.85;55.13;;;8.29;2;1;12;1
6.1;False;False;24.15;36.29;;;;0;1;12;1
4.3;False;True;105.3;97.65;;;45.23;31;1;12;1
4.1;False;False;16.32;37.5;;;;0;1;12;1
17.1;False;False;98.8;100.43;;;13.68;3;1;12;1
17.3;False;False;73.54;75.06;;;9.6;1;1;12;1
45.3;False;True;46.02;43.83;;;18.33;2;1;12;1
45.1;False;False;27.28;67.5;;;;0;1;12;1
42.2;False;True;22.16;10.94;;;;0;1;12;1
42.1;False;True;32.7;26.98;;;;0;1;12;1
9.1;False;True;31.78;18.42;;;;0;1;12;1
9.3;False;True;117.3;115.39;101.22;99.26;49.45;10;1;12;1
19.1;False;False;35.08;51.4;;;18.84;1;1;12;1
19.3;False;True;20.18;13.4;;;;0;1;12;1
24.3;False;False;37.05;45.56;;;;0;1;12;1
24.1;False;True;22.39;16.61;;;;0;1;12;1
29.1;False;True;41.36;31.71;;;18.15;1;1;12;1
29.3;False;False;296.75;322.48;46.19;69.81;22.94;2;1;12;1
41.1;False;True;34.81;13.24;;;;0;1;12;1
41.3;False;False;497.49;509.16;3.4;9.61;3.4;1;1;12;1
16.1;False;False;22.72;28.74;;;;0;1;12;1
16.3;False;False;12.01;62.49;;;;0;1;12;1
11.3;False;False;10.92;24.04;;;;0;1;12;1
11.1;False;False;20.74;38.21;;;;0;1;12;1
40.1;False;True;24.26;19.29;;;;0;1;12;1
40.2;False;True;19.09;14.59;;;;0;1;12;1
8.1;False;True;31.35;13.62;;;;0;1;12;1
8.2;False;False;13.08;90.1;;;;0;1;12;1
7.3;False;False;43.99;46.56;;;;0;1;12;1
7.1;False;False;13.81;185.04;;;;0;1;12;1
15.3;False;False;15.35;18.2;;;11.26;1;1;12;1
15.1;False;False;13.48;45.66;;;;0;1;12;1
36.3;True;False;305.27;293.3;153.3;146.14;;0;1;12;1
36.1;False;False;5.49;7.03;;;;0;1;12;1
10.2;False;True;15.67;11.16;;;;0;1;12;1
10.1;False;False;21.15;32.91;;;;0;1;12;1
43.2;False;False;16.26;26.73;;;;0;1;12;1
43.1;False;False;27.96;31.6;;;26.92;1;1;12;1
26.3;False;False;12.04;12.06;;;;0;1;12;1
26.1;False;True;20.53;12.46;;;;0;1;12;1
14.1;False;False;21.47;31.84;;;;0;1;12;1
14.3;False;False;114.4;210.04;13.06;98.64;13.06;2;1;12;1
28.2;False;False;28.39;124.99;;;;0;1;12;1
28.1;False;True;40.73;34.48;;;8.62;1;1;12;1
23.2;False;True;17.32;10.17;;;;0;1;12;1
23.1;False;False;17.16;19.48;;;;0;1;12;1
18.3;False;True;29.16;12.49;;;10.58;1;1;12;1
18.1;False;True;17.3;7.26;;;;0;1;12;1
34.2;False;False;350.44;365.53;18.17;19.72;18.17;1;1;12;1
34.1;False;True;33.63;23.88;;;22.85;1;1;12;1
30.2;False;False;40.81;220.66;;;39.3;1;1;12;1
30.1;False;True;24.31;20.44;;;;0;1;12;1
5.3;False;False;23.65;55.53;;;;0;1;12;1
5.1;False;False;20.13;34.68;;;;0;1;12;1
22.2;False;False;23.8;30.58;;;;0;1;12;1
22.1;False;False;21.52;21.52;;;;0;1;12;1
554.3;False;True;30.91;26.32;;;22.14;2;1;10;5
554.1;False;False;35.05;138.64;;;25.09;4;1;10;5
570.1;False;True;26.46;17.72;;;13.57;1;1;10;5
570.2;False;False;80.28;241.47;;;26.99;1;1;10;5
546.3;False;False;23.4;125.55;;;;0;1;10;5
546.1;False;False;27.57;84.18;;;;0;1;10;5
566.2;False;True;25.36;24.51;;;17.16;3;1;10;5
566.1;False;False;18.27;173.11;;;;0;1;10;5
576.4;False;False;23.56;35.71;;;;0;1;10;5
576.1;False;False;33.6;101.09;;;17.07;2;1;10;5
559.1;False;True;41.51;41.46;;;20.51;3;1;10;5
559.3;False;False;67.41;112.74;;;19.84;2;1;10;5
575.3;False;True;42.84;31.24;;;14.26;1;1;10;5
575.1;False;False;23.89;32.32;;;;0;1;10;5
573.1;False;False;50.95;58.65;;;24.31;1;1;10;5
573.3;False;False;24.26;63.79;;;;0;1;10;5
579.3;False;False;49.22;74.66;;;29.37;1;1;10;5
579.1;False;True;33.89;11.89;;;;0;1;10;5
558.1;False;False;103.75;118.89;22.42;32.75;25.39;1;1;10;5
558.3;False;False;41.08;63.24;;;;0;1;10;5
544.1;False;True;23.22;14.19;;;;0;1;10;5
544.3;False;False;18.86;86.88;;;;0;1;10;5
542.1;False;False;17.78;21.31;;;;0;1;10;5
542.4;False;False;35.66;215.77;;;27.47;1;1;10;5
574.3;False;True;121.76;121.79;21.89;13.28;19.62;1;1;10;5
574.1;False;True;30.62;28.32;;;;0;1;10;5
564.1;False;False;34.33;38.4;;;24.6;1;1;10;5
564.6;False;False;25.83;31.74;;;;0;1;10;5
563.1;False;False;27.16;34.12;;;;0;1;10;5
563.3;False;False;31.07;84.03;;;;0;1;10;5
556.4;False;True;32.99;2.62;;;;0;1;10;5
556.1;False;False;22.45;24.06;;;;0;1;10;5
550.1;False;True;35.95;23.21;;;21.78;1;1;10;5
550.2;False;False;27.45;1601.17;;;;0;1;10;5
580.1;False;False;36.77;47.41;;;29.02;4;1;10;5
580.2;False;False;29.21;34.6;;;;0;1;10;5
569.1;False;False;144.58;323.04;15.5;185.9;15.5;1;1;10;5
569.2;False;False;77.82;80.13;;;20.08;1;1;10;5
584.1;False;False;28.79;402.32;;;;0;1;10;5
584.3;False;False;65.95;84.01;;;20.84;7;1;10;5
571.1;False;True;33.15;7.43;;;;0;1;10;5
571.2;False;False;29.73;38.15;;;;0;1;10;5
567.4;False;False;33.61;40.73;;;;0;1;10;5
567.1;False;False;31.61;45.35;;;;0;1;10;5
581.1;False;False;30.44;30.72;;;;0;1;10;5
581.3;False;False;47.11;107.28;;;21.79;1;1;10;5
548.2;False;False;28.37;54.67;;;;0;1;10;5
548.1;False;False;31.31;46.56;;;;0;1;10;5
541.1;False;False;132.02;265.39;35.13;160.29;35.13;1;1;10;5
541.2;False;False;32.09;90.22;;;;0;1;10;5
565.2;False;False;23.28;44.24;;;;0;1;10;5
565.1;False;True;31.53;29.21;;;;0;1;10;5
560.3;False;False;25.3;87.53;;;;0;1;10;5
560.1;False;False;19.33;97.59;;;;0;1;10;5
561.2;False;False;31.3;51.92;;;;0;1;10;5
561.1;False;False;22.63;40.15;;;;0;1;10;5
553.2;False;True;25.68;23.83;;;;0;1;10;5
553.1;False;True;26.61;22.95;;;;0;1;10;5
585.3;False;False;24.44;70.61;;;;0;1;10;5
585.1;False;False;27.61;38.66;;;;0;1;10;5
139.1;False;False;62.4;63.5;;;17.28;4;1;19;2
139.3;False;True;13.58;9.7;;;;0;1;19;2
152.2;False;True;15.7;9.06;;;;0;1;19;2
152.1;False;False;22.06;34.66;;;16.92;1;1;19;2
168.2;False;True;12.09;9.73;;;;0;1;19;2
168.1;False;False;49.17;73.94;;;15.62;2;1;19;2
165.3;False;False;47.92;56.0;;;16.04;1;1;19;2
165.1;False;False;21.95;45.33;;;7.79;1;1;19;2
176.1;False;False;61.98;89.13;;;16.66;2;1;19;2
176.3;False;False;12.09;43.6;;;;0;1;19;2
144.2;False;False;199.68;283.19;44.31;116.01;18.74;3;1;19;2
144.1;False;False;12.25;64.33;;;;0;1;19;2
150.2;False;True;19.57;7.34;;;;0;1;19;2
150.1;False;False;28.98;62.58;;;;0;1;19;2
141.3;False;False;6.16;51.19;;;;0;1;19;2
141.1;False;False;6.18;229.66;;;;0;1;19;2
160.2;False;True;71.44;54.93;;;19.47;1;1;19;2
160.1;False;True;24.66;24.17;;;;0;1;19;2
163.2;False;True;215.46;214.03;13.91;12.08;12.08;1;1;19;2
163.1;False;False;29.48;43.27;;;26.7;1;1;19;2
147.3;False;False;15.03;66.3;;;;0;1;19;2
147.1;False;False;18.77;50.79;;;;0;1;19;2
178.1;False;True;25.74;16.29;;;;0;1;19;2
178.3;False;False;20.04;96.62;;;;0;1;19;2
156.1;False;False;20.68;24.13;;;;0;1;19;2
156.2;False;False;30.28;136.94;;;;0;1;19;2
145.1;False;True;42.27;33.66;;;10.01;2;1;19;2
145.2;False;False;63.69;152.06;;;16.06;2;1;19;2
164.1;False;True;16.35;13.37;;;;0;1;19;2
164.3;False;False;70.21;113.74;;;12.17;2;1;19;2
180.2;False;False;34.39;38.09;;;32.54;1;1;19;2
180.1;False;False;19.18;31.3;;;;0;1;19;2
158.2;False;True;23.5;9.67;;;;0;1;19;2
158.1;False;False;25.29;301.17;;;21.56;1;1;19;2
172.2;False;False;33.06;144.8;;;25.99;1;1;19;2
172.1;False;False;31.49;53.44;;;;0;1;19;2
179.2;False;True;22.74;12.0;;;;0;1;19;2
179.1;False;False;23.52;192.45;;;;0;1;19;2
142.1;False;False;14.24;35.32;;;;0;1;19;2
142.2;False;True;26.68;23.0;;;;0;1;19;2
177.3;False;False;25.46;37.24;;;;0;1;19;2
177.1;False;True;40.69;28.58;;;1.16;1;1;19;2
173.3;False;True;38.13;10.71;;;;0;1;19;2
173.1;False;False;18.62;135.6;;;;0;1;19;2
159.1;False;False;33.77;37.12;;;;0;1;19;2
159.2;False;False;14.82;240.58;;;;0;1;19;2
157.1;False;False;11.52;14.05;;;;0;1;19;2
157.3;False;False;12.68;77.6;;;;0;1;19;2
174.1;False;True;19.91;13.71;;;;0;1;19;2
174.2;False;False;21.2;79.03;;;;0;1;19;2
166.2;False;False;12.94;77.26;;;;0;1;19;2
166.1;False;False;18.34;258.55;;;13.69;1;1;19;2
140.1;False;True;16.77;3.51;;;;0;1;19;2
140.3;False;False;22.46;68.56;;;;0;1;19;2
138.1;False;True;28.61;18.74;;;;0;1;19;2
138.2;False;True;16.38;6.49;;;;0;1;19;2
169.1;False;False;26.96;34.32;;;25.24;1;1;19;2
169.2;False;False;21.4;148.75;;;19.65;1;1;19;2
153.1;False;False;11.52;371.94;;;;0;1;19;2
153.3;False;False;14.99;43.62;;;;0;1;19;2
278.1;False;False;15.04;39.55;;;;0;1;3;3
278.2;False;False;31.78;84.27;;;29.82;1;1;3;3
288.1;False;False;20.02;20.5;;;;0;1;3;3
288.2;False;False;26.82;45.92;;;18.55;1;1;3;3
295.1;False;False;18.18;33.28;;;;0;1;3;3
295.2;False;False;40.03;46.6;;;25.84;2;1;3;3
