;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
0;-0.2048683903720511;-0.0495118533187521;-0.0420840496264139;-0.1053720784131582;-0.0714285714285714;-0.0339819447543081;-0.1197626261913258;-0.0357142857142857;-0.1284457725980754;-0.0891042701123295;-0.1071428571428571;-0.0596688112882153;-0.0417691678465637;-0.0963856120713406;-0.0714285714285714;-0.061425246833182;-0.0400104430025386
1;-0.1277645134130186;-0.0062953333010502;-0.0197547293544516;-0.0822162973516639;-0.0492969970642799;-0.0267654708534201;-0.1017743651552126;-0.028925374954493;-0.1042024778073743;-0.0879120879120879;-0.0357142857142857;-0.0588235294117647;-0.0357462162398538;-0.0893655405996347;-0.0620148465810632;-0.02322655916039;-0.0357142857142857
10;0.0099465560423914;0.1122072934422552;0.1536146320387564;0.0325329788733954;0.1501341082073863;0.0729197550463969;0.1044585819078998;0.0654777693380437;0.0567595459236326;0.0420604941148898;0.1101955703406197;0.0725601618086981;0.044312884999761;0.0466499679202438;0.1359480350582073;0.0313273297890148;0.0866165744608782
100;0.8982196964349441;1.0;1.0;1.0;1.0;;1.0;;;1.0;;;1.0;1.0;1.0;1.0;
11;0.0107238648719561;0.1240109267765979;0.155757724031407;0.0387284461372707;0.1528165177153392;0.0732797432917004;0.1124809697827452;0.0714285714285714;0.0573342219306232;0.0489842629319307;0.1105583738540904;0.0841911734927043;0.0446147533943995;0.0542375989376397;0.1410462921030143;0.0530997678436412;0.1149518417322861
12;0.0168654860416173;0.1338061348887597;0.1590417717828387;0.0560671339593723;0.1635245797618772;0.0862700768814485;0.121530708241066;0.0801638882132905;0.0574693690493859;0.059083139895243;0.1113278702998427;0.0844745704508395;0.0492359499127025;0.0557667287612267;0.1411975541474228;0.0579113562558252;0.1166150670794633
13;0.0376978247357736;0.1451374875158063;0.1591058596748541;0.057501466892866;0.1682636276539751;0.0972941029087204;0.1370483481914395;0.0801789153903488;0.0651276116690432;0.065533736770531;0.1366112792814593;0.0986572589641204;0.0773139947962606;0.0594684033200392;0.1646470573764673;0.0658726209055178;0.1199078973919447
14;0.0492969970642799;0.1478860577598103;0.1637543871001181;0.0603953696376646;0.1888190317396638;0.1079397763335157;0.14153362213731;0.0840078630684119;0.083208900053121;0.0660455539176473;0.1467321106620926;0.1033216336639277;0.0952403917644272;0.060117049961915;0.1690182756489597;0.0791764090906212;0.1344184873131886
15;0.057175299980927;0.1650862727942406;0.1639437174868523;0.0615094196811925;0.1943718186519095;0.1084338579097104;0.1470221999509553;0.0901043394257332;0.0858847874101125;0.0749717522786887;0.154504183490986;0.1052217705531346;0.0967272537372924;0.071477086169563;0.175320599512107;0.0803590805512354;0.1348984901533761
16;0.0587350063677598;0.1698040585427002;0.1702075719631236;0.062573613383979;0.1970824517467747;0.1097810757594764;0.1624900220345571;0.098557024546122;0.0889557966452752;0.0779873412427046;0.1561127188002447;0.1142886298491747;0.097080414005866;0.0806756685510378;0.1771607414816112;0.0943144435959152;0.1369324411307917
17;0.0598772373305161;0.1762347948653946;0.1823057028232548;0.0646694973596613;0.1978218202449556;0.1103003140679994;0.1668850618360371;0.1020930614732857;0.0926076740744156;0.0812207424108483;0.1648497342135136;0.115486478966878;0.1062951496388028;0.0897839109862569;0.1787310811992694;0.0948216122938484;0.1564975053722008
18;0.0620124999424565;0.1785345717234261;0.184102029926259;0.0657596595271889;0.1995398789309742;0.1164029139519091;0.1901455601050796;0.1084772675286529;0.1091045541259691;0.0918472652218782;0.1762735252792202;0.1207335048243021;0.1108083991130125;0.0918472652218782;0.1912652771462948;0.098701995783467;0.1682970354856129
19;0.0650154798761609;0.1875969372255978;0.1977133163360266;0.0813462073554209;0.20539082211049;0.1181850107881799;0.1947050626740112;0.112559079410195;0.1103316175373699;0.0952403917644272;0.1802724334185203;0.1338923854009157;0.1113278702998427;0.0959269833444102;0.1962624761790624;0.1032565997031041;0.1713208485818269
2;-0.1017501791463782;0.0200385728420065;0.0122850493666364;-0.0466831875932183;0.0205049089501902;0.0;-0.0990830719556603;-0.0257997936016511;-0.0933663751864366;-0.0845091378244798;-0.0013071926447904;-0.0541655868920245;-0.0357142857142857;-0.0845091378244798;0.0035714285714285;-0.0211272844561199;-0.0295018856294583
20;0.0681299002158773;0.1987169738566785;0.2039693571595173;0.087719298245614;0.2060755748249259;0.1361257418133949;0.2071095954865979;0.1270829146634891;0.1295182191699319;0.1020634455776221;0.1855203464577905;0.1418084204936305;0.1135559794760362;0.1064078780792063;0.2051584293433265;0.1116208787944963;0.1740734840048556
21;0.0738553525269318;0.202337156446145;0.209437599853838;0.1132042605964954;0.2068846408504064;0.146828937303492;0.2074303405572755;0.1274540880908697;0.1304690128329299;0.1071436293760229;0.1911588473762327;0.1428571428571428;0.1188238403790854;0.1124975166403739;0.2056140570965616;0.1207430340557275;0.178575734558301
22;0.0781179505169787;0.2051439401261931;0.219395449891043;0.1166254078964023;0.2090021469891031;0.1485566724779825;0.2120283403853314;0.1334946754823061;0.1365021195100698;0.1090560791209201;0.2016947970489976;0.1598887623546964;0.1285714285714285;0.1178571428571428;0.2193718997517125;0.1207448083298802;0.1847408443167814
23;0.0914515028717027;0.2063888293594916;0.2200550997676978;0.1293789849305152;0.2118106629344293;0.1519730668623081;0.2161225172720219;0.1428571428571428;0.1433528672543544;0.1178571428571428;0.2022473808764469;0.1635416359795929;0.1325954848562826;0.1207742403124901;0.2217252957016276;0.1300517415415492;0.187191231374254
24;0.0985414076878699;0.2255227990868355;0.2241559503438951;0.1303517886492781;0.2141606560332759;0.1551932927242811;0.216264608251116;0.1508492642562868;0.1529518877621565;0.1195295905876638;0.214884816261116;0.1646865107593221;0.1424998264081454;0.1233142944123478;0.2256733864823253;0.1420083004466619;0.1872835846387533
25;0.1007678767643393;0.2299366056303288;0.2305630947470575;0.1370871397183343;0.2279321617286386;0.1671078941534761;0.2265363913081856;0.1744170638747292;0.1632234997286677;0.123865405185369;0.2270348199915644;0.1659961628883428;0.1465558374273926;0.1299657028978216;0.226691974147621;0.1536345099106153;0.1926171053225271
26;0.1071428571428571;0.2309302171705271;0.2420897336078958;0.1520670793610371;0.2283410665585896;0.1673654817511446;0.2322146137148798;0.1757592349269542;0.1638090449356266;0.1257896646036691;0.2284566569644819;0.1661265392191348;0.1546922209039731;0.1348052503561712;0.2341420415604882;0.1546459681648742;0.1942773287548978
27;0.1307626695118745;0.2312541901925623;0.2480565872040102;0.1526014393352804;0.2343756125447804;0.1752894403999108;0.2349257799753625;0.1759640746366702;0.1884055769869374;0.1356892267255529;0.2292044479086011;0.1671688642774702;0.1566279217258893;0.1491579595121296;0.2411012677577099;0.1571428571428571;0.1961089741992053
28;0.1325521087990993;0.2318587915806886;0.2562819105951129;0.1571209606436637;0.2394581028839439;0.189275787417835;0.2350134168056463;0.1866579662861065;0.1902066794758933;0.1502886774255313;0.2315512827408325;0.1695176560129114;0.1579291170363108;0.1569787541074206;0.2511984887326264;0.1576752664861434;0.2008385781013735
29;0.1333335808333511;0.2362637362637362;0.2596967233352802;0.1580111723436146;0.2448328598978505;0.1913140556257738;0.2418719098468635;0.1940916876316291;0.1904942847525315;0.1525180749887647;0.2321428571428571;0.1745153027597408;0.1624995874039338;0.1571609287516945;0.2523150274676963;0.165040475168555;0.2038501552863043
3;-0.0880176380825573;0.0395825442672487;0.0615875248090327;-0.0391203841597651;0.0857460831721682;0.0134015478080914;-0.0879120879120879;-0.0232653621995335;-0.0879120879120879;-0.0285298106953006;0.0019267858501929;-0.0171990691132909;-0.025738161291821;-0.0714285714285714;0.0147420592399636;-0.0164819376825553;0.0
30;0.1342971146737176;0.2365031374885589;0.2633092159429223;0.1626708018043173;0.25;0.1932453692514822;0.2482789646609215;0.1962863948811452;0.1919366172237964;0.1572370726125238;0.234818393939758;0.1745557981756798;0.1687656823492531;0.1593829620614203;0.2621647358468185;0.1679224146498656;0.2089450436731777
31;0.137211220467298;0.2385696296021243;0.2643909731096304;0.1640900200871616;0.2555239744424786;0.1933253303400548;0.2530989571302352;0.200301431972104;0.1939973182908423;0.1776693874132425;0.2349400254710392;0.1850559724712416;0.1732075264128084;0.1594086675268618;0.263750127324825;0.169661092201826;0.2098908341639766
32;0.138036714976062;0.2463117695771929;0.269208946415343;0.1672507885237339;0.2569533167997815;0.2027449661690853;0.2588533830871858;0.2038238821608761;0.1992556336142008;0.1809056870066254;0.2391356039413262;0.1855417730363527;0.18216243583775;0.1811094552788748;0.2731828118648749;0.1716869416903748;0.2101162723705127
33;0.1426179887856648;0.2479197881525913;0.2811402408305579;0.1674767019704172;0.2614389555810795;0.2064519514051372;0.262699865995222;0.2063803470343824;0.2047895442986464;0.1952683283735628;0.2400980934077586;0.1871853252626522;0.185809131458509;0.2018074577764055;0.2827693446921543;0.1799617984080201;0.2214440792600453
34;0.1446524127569765;0.2485511636781825;0.2886960465349559;0.175;0.2659601200235665;0.2165350624425505;0.2645220001749188;0.2070286225702829;0.2084302885652991;0.1982288450221894;0.2418958125263439;0.1940145573930802;0.1867471997333902;0.2041646117372467;0.2844806556518969;0.184337984172843;0.224206829615652
35;0.1473384187122089;0.2510279144753731;0.2994574708009738;0.1837351481247871;0.2731902054820488;0.2216028658322022;0.2679759610125112;0.2102372624098692;0.2124989677235641;0.1985575784497609;0.2462854366246736;0.1967323980967196;0.1920404039782135;0.2045090531131901;0.2846393192660919;0.1882322970935041;0.2245225502360918
36;0.1504111478511957;0.2511889231783121;0.3020269508603538;0.1860028445475386;0.2742594312055728;0.2309268149248851;0.2698130257895945;0.2105680430884028;0.2147056160963459;0.2010477898801695;0.2466460268317853;0.2026650448718321;0.1953133719412616;0.2055380146390787;0.2896467527991442;0.2058341802628113;0.2249999999999999
37;0.1560572648686815;0.2546540203120804;0.3021978021978022;0.1893970461378913;0.2782499309373242;0.2354630362308845;0.2717596120788968;0.2145427421322187;0.2147984058370307;0.2063255351893101;0.246719638952363;0.2064130355227481;0.2011564427601424;0.2079977211871354;0.3027252615366482;0.2073985346238252;0.2265613938738521
38;0.1590754898100225;0.2590310183656118;0.3053358383455223;0.1922141402396963;0.2822680006858756;0.2356587210351764;0.2823005376217234;0.227347571419599;0.2151310734755489;0.2079142071056443;0.2473962478340683;0.2138579611987185;0.2077580448683677;0.2082335982046482;0.318156406847482;0.2087901668151415;0.233828793215974
39;0.1595529490297916;0.2613357329812042;0.3204410805420625;0.1977900780741924;0.2853795322230619;0.2380873533556312;0.2916946039483523;0.2328793388433475;0.2201586775889236;0.2150730605622207;0.2522003113144958;0.2221447812817978;0.2089353371950966;0.2108277066496476;0.3258907862836991;0.2089213091195126;0.2346982448740943
4;-0.0706931976404001;0.0527109031505536;0.0704242815203998;-0.0310424275361831;0.1001718927727318;0.0164835164835164;-0.0605010756960581;-0.0230012111430329;0.0;-0.0200343785545463;0.0034274121501775;0.0041624282756235;-0.0059837443284995;-0.0377414801805097;0.0274725274725274;-0.0144626874772465;0.0045804826408945
40;0.1643415958898522;0.2683267095664662;0.323106764293571;0.205897348284332;0.2892809539254738;0.2418795696535168;0.29554380584019;0.2341717553593745;0.2207428712999958;0.2168906602367861;0.2536838154420372;0.2271035698108815;0.2115965896060649;0.2116262555056637;0.3315980092960715;0.2135004893797455;0.2439322255032374
41;0.1714285714285714;0.2711401672226214;0.324503603825171;0.208244767851207;0.2895329951118204;0.2425510607769795;0.2959717768923613;0.2404902938387755;0.2219622673614353;0.2180639213939177;0.2698547151697713;0.236645524042022;0.2154696381255169;0.2142730734573832;0.3331424388410786;0.2162954806368864;0.2461929781766738
42;0.1802066025883642;0.2780143270902679;0.3249713855917018;0.217575126276488;0.2907802910893109;0.2463724192560386;0.2980751276601925;0.2415214448643806;0.23238016421445;0.221846658561987;0.2729059965749432;0.2371490393595259;0.2202345364818892;0.2261316162432173;0.3353353533357125;0.2165578100535151;0.2479775681605477
43;0.1835974932518741;0.27824535709462;0.3276886136640039;0.2193484161989801;0.2913204901246194;0.252148758199112;0.2990841636374875;0.2470755912028905;0.2343060937357107;0.2222392111944756;0.2734759998675094;0.2418596430561869;0.2248463453863357;0.227766866110664;0.3359012675926948;0.2285988527793029;0.2492116419149402
44;0.1841474785596072;0.2856195312034286;0.3327578365568819;0.2237006524167439;0.296152279481397;0.2541887353045529;0.3000023050238447;0.2556102956059289;0.2369934375779925;0.2272652099624255;0.275977526136538;0.2469486096774732;0.2321896150220374;0.2288276044530416;0.3367499958367317;0.2295706004545247;0.2574857784025208
45;0.1960676769496182;0.2939083066320574;0.3339816068329443;0.2287027917603626;0.3030337276993664;0.258764063917108;0.306318215752261;0.2626672318991193;0.2384617793784438;0.2317370553399355;0.2830682679335836;0.2480526383105053;0.2321997932766251;0.2327204233535721;0.3401115530554491;0.2308441896468731;0.2597621968820327
46;0.1966154317189388;0.3047508064959017;0.3376668261411956;0.2293834153311872;0.3069774381710233;0.2591392638410529;0.3201343411375308;0.2771589905345432;0.2512665929970351;0.237086224344538;0.2998631588377141;0.2642857142857143;0.2415791815273218;0.2453208832915916;0.3460901591143367;0.2399141867831134;0.2679869073234277
47;0.201854041357194;0.3053615430497352;0.3412724612714088;0.2341281429752081;0.3129548487967579;0.261759685707719;0.320413425830252;0.2787123139932994;0.2543550236898155;0.2424776355388899;0.309401262700622;0.2678991722799866;0.2441740813354553;0.2463361832004824;0.3464617349347964;0.2407760634783771;0.2740548666822913
48;0.2076962518304797;0.3245541772787297;0.3423511835928113;0.2377591995007136;0.313908427648367;0.2669333015020502;0.3232990217579673;0.2841357077459074;0.255234221499845;0.2442644603090937;0.3136203215643988;0.2750602811849167;0.2513192253054954;0.2485862509214984;0.3465780526150239;0.2482432574303915;0.2750459359862306
49;0.2101190520599462;0.3274111622952798;0.3485310806087907;0.2386396051751617;0.3221086448424406;0.2685642952744432;0.3246387223892966;0.2868186654374175;0.2592602891438719;0.2476812098576689;0.3207701747696022;0.2753800805507829;0.2543826249347844;0.2503905447656951;0.3531206595765489;0.2526847483254106;0.2799048324085411
5;-0.013408631439424;0.0649239013579259;0.0714285714285714;-0.0281697126081599;0.1156356445157471;0.0319411283532546;0.0262411987439201;-0.0070424281520399;0.0055462470531313;-0.0088795330362506;0.0513924633654588;0.0056902376959658;-0.0057443108064746;-0.0186118191305549;0.0558767896555951;-0.0023237842052425;0.0245700987332728
50;0.2118013599957924;0.328246495892437;0.3528643212313636;0.2507368208426065;0.3257897054792446;0.2695296393440384;0.3317714112544775;0.2884020967259049;0.2654445628603883;0.2508831995087788;0.3241758241758241;0.2806435983648371;0.2553543755037784;0.2552742086242894;0.3566231954921504;0.253039942354756;0.2826493811318594
51;0.2127050625349;0.3302359244167146;0.3573213300937103;0.2536936232084074;0.3259240685450155;0.2696728084640251;0.332529923952473;0.2885899924682229;0.2686161521849524;0.254722013116829;0.3275331745535392;0.2813719251850873;0.2559865726368002;0.2555371777474276;0.3579873800502928;0.2543030489526426;0.2855683661111864
